Location,Date,Value
Canada,05/04/2025,233491
Canada,05/05/2025,303928
Canada,05/06/2025,337668
Canada,05/07/2025,339581
Canada,05/08/2025,323026
Canada,05/09/2025,315800
Canada,05/10/2025,312346
"Saskatchewan, Canada",05/04/2025,9838
"Saskatchewan, Canada",05/05/2025,13821
"Saskatchewan, Canada",05/06/2025,15687
"Saskatchewan, Canada",05/07/2025,15817
"Saskatchewan, Canada",05/08/2025,14410
"Saskatchewan, Canada",05/09/2025,14657
"Saskatchewan, Canada",05/10/2025,14598
"Estevan, SK+",05/04/2025,344
"Estevan, SK+",05/05/2025,442
"Estevan, SK+",05/06/2025,578
"Estevan, SK+",05/07/2025,559
"Estevan, SK+",05/08/2025,451
"Estevan, SK+",05/09/2025,427
"Estevan, SK+",05/10/2025,376
"Moose Jaw, SK+",05/04/2025,612
"Moose Jaw, SK+",05/05/2025,634
"Moose Jaw, SK+",05/06/2025,791
"Moose Jaw, SK+",05/07/2025,1049
"Moose Jaw, SK+",05/08/2025,1020
"Moose Jaw, SK+",05/09/2025,854
"Moose Jaw, SK+",05/10/2025,714
"Prince Albert, SK+",05/04/2025,602
"Prince Albert, SK+",05/05/2025,709
"Prince Albert, SK+",05/06/2025,746
"Prince Albert, SK+",05/07/2025,755
"Prince Albert, SK+",05/08/2025,777
"Prince Albert, SK+",05/09/2025,780
"Prince Albert, SK+",05/10/2025,726
"Regina, SK+",05/04/2025,1755
"Regina, SK+",05/05/2025,2511
"Regina, SK+",05/06/2025,3048
"Regina, SK+",05/07/2025,2811
"Regina, SK+",05/08/2025,2398
"Regina, SK+",05/09/2025,2610
"Regina, SK+",05/10/2025,2615
"Saskatoon, SK+",05/04/2025,2702
"Saskatoon, SK+",05/05/2025,3504
"Saskatoon, SK+",05/06/2025,3859
"Saskatoon, SK+",05/07/2025,3986
"Saskatoon, SK+",05/08/2025,3964
"Saskatoon, SK+",05/09/2025,4304
"Saskatoon, SK+",05/10/2025,4198
"Swift Current, SK+",05/04/2025,277
"Swift Current, SK+",05/05/2025,492
"Swift Current, SK+",05/06/2025,536
"Swift Current, SK+",05/07/2025,563
"Swift Current, SK+",05/08/2025,465
"Swift Current, SK+",05/09/2025,525
"Swift Current, SK+",05/10/2025,693
"Yorkton, SK+",05/04/2025,336
"Yorkton, SK+",05/05/2025,624
"Yorkton, SK+",05/06/2025,670
"Yorkton, SK+",05/07/2025,669
"Yorkton, SK+",05/08/2025,588
"Yorkton, SK+",05/09/2025,438
"Yorkton, SK+",05/10/2025,487
