Location,Date,Value
Canada,05/11/2025,209120
Canada,05/12/2025,302805
Canada,05/13/2025,344683
Canada,05/14/2025,348277
Canada,05/15/2025,315406
Canada,05/16/2025,322333
Canada,05/17/2025,364203
"Saskatchewan, Canada",05/11/2025,9010
"Saskatchewan, Canada",05/12/2025,14649
"Saskatchewan, Canada",05/13/2025,16759
"Saskatchewan, Canada",05/14/2025,16606
"Saskatchewan, Canada",05/15/2025,14684
"Saskatchewan, Canada",05/16/2025,15187
"Saskatchewan, Canada",05/17/2025,16304
"Estevan, SK+",05/11/2025,320
"Estevan, SK+",05/12/2025,488
"Estevan, SK+",05/13/2025,501
"Estevan, SK+",05/14/2025,451
"Estevan, SK+",05/15/2025,363
"Estevan, SK+",05/16/2025,288
"Estevan, SK+",05/17/2025,314
"Moose Jaw, SK+",05/11/2025,485
"Moose Jaw, SK+",05/12/2025,866
"Moose Jaw, SK+",05/13/2025,975
"Moose Jaw, SK+",05/14/2025,1009
"Moose Jaw, SK+",05/15/2025,763
"Moose Jaw, SK+",05/16/2025,977
"Moose Jaw, SK+",05/17/2025,1091
"Prince Albert, SK+",05/11/2025,507
"Prince Albert, SK+",05/12/2025,710
"Prince Albert, SK+",05/13/2025,737
"Prince Albert, SK+",05/14/2025,726
"Prince Albert, SK+",05/15/2025,685
"Prince Albert, SK+",05/16/2025,713
"Prince Albert, SK+",05/17/2025,683
"Regina, SK+",05/11/2025,1633
"Regina, SK+",05/12/2025,2398
"Regina, SK+",05/13/2025,2914
"Regina, SK+",05/14/2025,2612
"Regina, SK+",05/15/2025,2213
"Regina, SK+",05/16/2025,2427
"Regina, SK+",05/17/2025,2697
"Saskatoon, SK+",05/11/2025,2286
"Saskatoon, SK+",05/12/2025,3678
"Saskatoon, SK+",05/13/2025,4283
"Saskatoon, SK+",05/14/2025,4589
"Saskatoon, SK+",05/15/2025,4574
"Saskatoon, SK+",05/16/2025,4753
"Saskatoon, SK+",05/17/2025,4863
"Swift Current, SK+",05/11/2025,349
"Swift Current, SK+",05/12/2025,570
"Swift Current, SK+",05/13/2025,532
"Swift Current, SK+",05/14/2025,639
"Swift Current, SK+",05/15/2025,546
"Swift Current, SK+",05/16/2025,530
"Swift Current, SK+",05/17/2025,614
"Yorkton, SK+",05/11/2025,406
"Yorkton, SK+",05/12/2025,662
"Yorkton, SK+",05/13/2025,661
"Yorkton, SK+",05/14/2025,583
"Yorkton, SK+",05/15/2025,525
"Yorkton, SK+",05/16/2025,460
"Yorkton, SK+",05/17/2025,546
