Location,Date,Value
Canada,04/27/2025,40898118.5745541
Canada,04/28/2025,54504674.040473
Canada,04/29/2025,61637111.3220849
Canada,04/30/2025,61437348.3551275
Canada,05/01/2025,62931784.5296429
Canada,05/02/2025,67580172.6391009
Canada,05/03/2025,71338777.0590245
"Saskatchewan, Canada",04/27/2025,1293558.52445552
"Saskatchewan, Canada",04/28/2025,2039496.64758988
"Saskatchewan, Canada",04/29/2025,2419322.34085181
"Saskatchewan, Canada",04/30/2025,2322056.825996
"Saskatchewan, Canada",05/01/2025,2273908.94653993
"Saskatchewan, Canada",05/02/2025,2650698.64681026
"Saskatchewan, Canada",05/03/2025,2582860.04302024
"Estevan, SK+",04/27/2025,26380.9129873333
"Estevan, SK+",04/28/2025,41319.6961832711
"Estevan, SK+",04/29/2025,49777.225935675
"Estevan, SK+",04/30/2025,50920.9968812775
"Estevan, SK+",05/01/2025,45345.0079178264
"Estevan, SK+",05/02/2025,60085.1136362884
"Estevan, SK+",05/03/2025,56359.3353081111
"Moose Jaw, SK+",04/27/2025,72063.0813529911
"Moose Jaw, SK+",04/28/2025,84843.9954154026
"Moose Jaw, SK+",04/29/2025,109918.907529857
"Moose Jaw, SK+",04/30/2025,124006.620010693
"Moose Jaw, SK+",05/01/2025,128006.163246854
"Moose Jaw, SK+",05/02/2025,159043.189029385
"Moose Jaw, SK+",05/03/2025,164691.85110369
"Prince Albert, SK+",04/27/2025,84303.8822669026
"Prince Albert, SK+",04/28/2025,122435.158135445
"Prince Albert, SK+",04/29/2025,132193.144676707
"Prince Albert, SK+",04/30/2025,126177.300751657
"Prince Albert, SK+",05/01/2025,124337.232657486
"Prince Albert, SK+",05/02/2025,135336.937179964
"Prince Albert, SK+",05/03/2025,130486.785556814
"Regina, SK+",04/27/2025,273221.878867097
"Regina, SK+",04/28/2025,365677.582326964
"Regina, SK+",04/29/2025,445692.047400741
"Regina, SK+",04/30/2025,413557.229847804
"Regina, SK+",05/01/2025,463606.350054052
"Regina, SK+",05/02/2025,499662.498256852
"Regina, SK+",05/03/2025,501222.42126165
"Saskatoon, SK+",04/27/2025,329792.366146701
"Saskatoon, SK+",04/28/2025,589155.655218011
"Saskatoon, SK+",04/29/2025,710646.118874617
"Saskatoon, SK+",04/30/2025,665759.381620807
"Saskatoon, SK+",05/01/2025,621745.657942605
"Saskatoon, SK+",05/02/2025,758098.404269066
"Saskatoon, SK+",05/03/2025,722033.931858381
"Swift Current, SK+",04/27/2025,28177.740162
"Swift Current, SK+",04/28/2025,49125.6242874942
"Swift Current, SK+",04/29/2025,59949.6772878612
"Swift Current, SK+",04/30/2025,64425.23349957
"Swift Current, SK+",05/01/2025,43975.1701608173
"Swift Current, SK+",05/02/2025,59886.1982165091
"Swift Current, SK+",05/03/2025,40155.467203153
"Yorkton, SK+",04/27/2025,39151.5047162211
"Yorkton, SK+",04/28/2025,69894.1048860216
"Yorkton, SK+",04/29/2025,78737.3048989264
"Yorkton, SK+",04/30/2025,74360.9826409645
"Yorkton, SK+",05/01/2025,80260.50315127
"Yorkton, SK+",05/02/2025,97778.7582258935
"Yorkton, SK+",05/03/2025,89841.5165371705
