Location,Date,Value
Canada,05/04/2025,102.42252793497
Canada,05/05/2025,138.291936
Canada,05/06/2025,159.197454680401
Canada,05/07/2025,160.176784760349
Canada,05/08/2025,149.227908468596
Canada,05/09/2025,141.99860822437
Canada,05/10/2025,140.121197558409
"Saskatchewan, Canada",05/04/2025,60.9412280314722
"Saskatchewan, Canada",05/05/2025,90.8673659827927
"Saskatchewan, Canada",05/06/2025,107.473031840577
"Saskatchewan, Canada",05/07/2025,109.727327744687
"Saskatchewan, Canada",05/08/2025,95.7357408632988
"Saskatchewan, Canada",05/09/2025,100.901662622251
"Saskatchewan, Canada",05/10/2025,102.323308331494
"Estevan, SK+",05/04/2025,46.9189857393162
"Estevan, SK+",05/05/2025,63.2188061538461
"Estevan, SK+",05/06/2025,86.6123629594017
"Estevan, SK+",05/07/2025,83.3666444807692
"Estevan, SK+",05/08/2025,65.4141856551282
"Estevan, SK+",05/09/2025,59.2752873401709
"Estevan, SK+",05/10/2025,51.8165884615384
"Moose Jaw, SK+",05/04/2025,75.5361990290771
"Moose Jaw, SK+",05/05/2025,72.9708665689001
"Moose Jaw, SK+",05/06/2025,95.0748644686472
"Moose Jaw, SK+",05/07/2025,130.585940147408
"Moose Jaw, SK+",05/08/2025,128.359381731352
"Moose Jaw, SK+",05/09/2025,118.1637248
"Moose Jaw, SK+",05/10/2025,106.780875828065
"Prince Albert, SK+",05/04/2025,108.001846171091
"Prince Albert, SK+",05/05/2025,135.653240070796
"Prince Albert, SK+",05/06/2025,138.541300250589
"Prince Albert, SK+",05/07/2025,139.587847169026
"Prince Albert, SK+",05/08/2025,145.390127471681
"Prince Albert, SK+",05/09/2025,157.211249066666
"Prince Albert, SK+",05/10/2025,146.871922241887
"Regina, SK+",05/04/2025,53.1036021415836
"Regina, SK+",05/05/2025,84.1166224310435
"Regina, SK+",05/06/2025,112.107445730283
"Regina, SK+",05/07/2025,101.076517391714
"Regina, SK+",05/08/2025,81.4356367375721
"Regina, SK+",05/09/2025,89.4479225589931
"Regina, SK+",05/10/2025,91.7022139853172
"Saskatoon, SK+",05/04/2025,74.4759326750295
"Saskatoon, SK+",05/05/2025,104.106927655384
"Saskatoon, SK+",05/06/2025,119.178072353349
"Saskatoon, SK+",05/07/2025,128.151908379739
"Saskatoon, SK+",05/08/2025,117.955989790934
"Saskatoon, SK+",05/09/2025,130.208708324733
"Saskatoon, SK+",05/10/2025,128.577640582248
"Swift Current, SK+",05/04/2025,31.2005636685393
"Swift Current, SK+",05/05/2025,56.9378135730337
"Swift Current, SK+",05/06/2025,61.9553730285112
"Swift Current, SK+",05/07/2025,66.062070335955
"Swift Current, SK+",05/08/2025,53.0038420369382
"Swift Current, SK+",05/09/2025,63.2528287056179
"Swift Current, SK+",05/10/2025,87.5035728089887
"Yorkton, SK+",05/04/2025,62.0746338479262
"Yorkton, SK+",05/05/2025,121.875664811059
"Yorkton, SK+",05/06/2025,138.219655895161
"Yorkton, SK+",05/07/2025,138.598014857142
"Yorkton, SK+",05/08/2025,117.701921981336
"Yorkton, SK+",05/09/2025,86.0116224
"Yorkton, SK+",05/10/2025,100.738694792626
