Location,Date,Value
Canada,05/11/2025,452827
Canada,05/12/2025,452827
Canada,05/13/2025,452827
Canada,05/14/2025,452827
Canada,05/15/2025,452827
Canada,05/16/2025,452767
Canada,05/17/2025,452767
"Saskatchewan, Canada",05/11/2025,21782
"Saskatchewan, Canada",05/12/2025,21782
"Saskatchewan, Canada",05/13/2025,21782
"Saskatchewan, Canada",05/14/2025,21782
"Saskatchewan, Canada",05/15/2025,21782
"Saskatchewan, Canada",05/16/2025,21782
"Saskatchewan, Canada",05/17/2025,21782
"Estevan, SK+",05/11/2025,749
"Estevan, SK+",05/12/2025,749
"Estevan, SK+",05/13/2025,749
"Estevan, SK+",05/14/2025,749
"Estevan, SK+",05/15/2025,749
"Estevan, SK+",05/16/2025,749
"Estevan, SK+",05/17/2025,749
"Moose Jaw, SK+",05/11/2025,1169
"Moose Jaw, SK+",05/12/2025,1169
"Moose Jaw, SK+",05/13/2025,1169
"Moose Jaw, SK+",05/14/2025,1169
"Moose Jaw, SK+",05/15/2025,1169
"Moose Jaw, SK+",05/16/2025,1169
"Moose Jaw, SK+",05/17/2025,1169
"Prince Albert, SK+",05/11/2025,880
"Prince Albert, SK+",05/12/2025,880
"Prince Albert, SK+",05/13/2025,880
"Prince Albert, SK+",05/14/2025,880
"Prince Albert, SK+",05/15/2025,880
"Prince Albert, SK+",05/16/2025,880
"Prince Albert, SK+",05/17/2025,880
"Regina, SK+",05/11/2025,4061
"Regina, SK+",05/12/2025,4061
"Regina, SK+",05/13/2025,4061
"Regina, SK+",05/14/2025,4061
"Regina, SK+",05/15/2025,4061
"Regina, SK+",05/16/2025,4061
"Regina, SK+",05/17/2025,4061
"Saskatoon, SK+",05/11/2025,5209
"Saskatoon, SK+",05/12/2025,5209
"Saskatoon, SK+",05/13/2025,5209
"Saskatoon, SK+",05/14/2025,5209
"Saskatoon, SK+",05/15/2025,5209
"Saskatoon, SK+",05/16/2025,5209
"Saskatoon, SK+",05/17/2025,5209
"Swift Current, SK+",05/11/2025,1018
"Swift Current, SK+",05/12/2025,1018
"Swift Current, SK+",05/13/2025,1018
"Swift Current, SK+",05/14/2025,1018
"Swift Current, SK+",05/15/2025,1018
"Swift Current, SK+",05/16/2025,1018
"Swift Current, SK+",05/17/2025,1018
"Yorkton, SK+",05/11/2025,691
"Yorkton, SK+",05/12/2025,691
"Yorkton, SK+",05/13/2025,691
"Yorkton, SK+",05/14/2025,691
"Yorkton, SK+",05/15/2025,691
"Yorkton, SK+",05/16/2025,691
"Yorkton, SK+",05/17/2025,691
