Location,Date,Value
Canada,04/27/2025,445669
Canada,04/28/2025,445669
Canada,04/29/2025,445669
Canada,04/30/2025,445669
Canada,05/01/2025,452643
Canada,05/02/2025,452590
Canada,05/03/2025,452590
"Saskatchewan, Canada",04/27/2025,21717
"Saskatchewan, Canada",04/28/2025,21717
"Saskatchewan, Canada",04/29/2025,21717
"Saskatchewan, Canada",04/30/2025,21717
"Saskatchewan, Canada",05/01/2025,21846
"Saskatchewan, Canada",05/02/2025,21846
"Saskatchewan, Canada",05/03/2025,21846
"Estevan, SK+",04/27/2025,749
"Estevan, SK+",04/28/2025,749
"Estevan, SK+",04/29/2025,749
"Estevan, SK+",04/30/2025,749
"Estevan, SK+",05/01/2025,749
"Estevan, SK+",05/02/2025,749
"Estevan, SK+",05/03/2025,749
"Moose Jaw, SK+",04/27/2025,1169
"Moose Jaw, SK+",04/28/2025,1169
"Moose Jaw, SK+",04/29/2025,1169
"Moose Jaw, SK+",04/30/2025,1169
"Moose Jaw, SK+",05/01/2025,1169
"Moose Jaw, SK+",05/02/2025,1169
"Moose Jaw, SK+",05/03/2025,1169
"Prince Albert, SK+",04/27/2025,880
"Prince Albert, SK+",04/28/2025,880
"Prince Albert, SK+",04/29/2025,880
"Prince Albert, SK+",04/30/2025,880
"Prince Albert, SK+",05/01/2025,880
"Prince Albert, SK+",05/02/2025,880
"Prince Albert, SK+",05/03/2025,880
"Regina, SK+",04/27/2025,3953
"Regina, SK+",04/28/2025,3953
"Regina, SK+",04/29/2025,3953
"Regina, SK+",04/30/2025,3953
"Regina, SK+",05/01/2025,4061
"Regina, SK+",05/02/2025,4061
"Regina, SK+",05/03/2025,4061
"Saskatoon, SK+",04/27/2025,5272
"Saskatoon, SK+",04/28/2025,5272
"Saskatoon, SK+",04/29/2025,5272
"Saskatoon, SK+",04/30/2025,5272
"Saskatoon, SK+",05/01/2025,5272
"Saskatoon, SK+",05/02/2025,5272
"Saskatoon, SK+",05/03/2025,5272
"Swift Current, SK+",04/27/2025,1018
"Swift Current, SK+",04/28/2025,1018
"Swift Current, SK+",04/29/2025,1018
"Swift Current, SK+",04/30/2025,1018
"Swift Current, SK+",05/01/2025,1018
"Swift Current, SK+",05/02/2025,1018
"Swift Current, SK+",05/03/2025,1018
"Yorkton, SK+",04/27/2025,691
"Yorkton, SK+",04/28/2025,691
"Yorkton, SK+",04/29/2025,691
"Yorkton, SK+",04/30/2025,691
"Yorkton, SK+",05/01/2025,691
"Yorkton, SK+",05/02/2025,691
"Yorkton, SK+",05/03/2025,691
