Location,Date,Value
Canada,05/25/2025,452984
Canada,05/26/2025,452984
Canada,05/27/2025,452984
Canada,05/28/2025,452984
Canada,05/29/2025,452984
Canada,05/30/2025,452984
Canada,05/31/2025,452984
"Saskatchewan, Canada",05/25/2025,21810
"Saskatchewan, Canada",05/26/2025,21810
"Saskatchewan, Canada",05/27/2025,21810
"Saskatchewan, Canada",05/28/2025,21810
"Saskatchewan, Canada",05/29/2025,21810
"Saskatchewan, Canada",05/30/2025,21810
"Saskatchewan, Canada",05/31/2025,21810
"Estevan, SK+",05/25/2025,749
"Estevan, SK+",05/26/2025,749
"Estevan, SK+",05/27/2025,749
"Estevan, SK+",05/28/2025,749
"Estevan, SK+",05/29/2025,749
"Estevan, SK+",05/30/2025,749
"Estevan, SK+",05/31/2025,749
"Moose Jaw, SK+",05/25/2025,1169
"Moose Jaw, SK+",05/26/2025,1169
"Moose Jaw, SK+",05/27/2025,1169
"Moose Jaw, SK+",05/28/2025,1169
"Moose Jaw, SK+",05/29/2025,1169
"Moose Jaw, SK+",05/30/2025,1169
"Moose Jaw, SK+",05/31/2025,1169
"Prince Albert, SK+",05/25/2025,880
"Prince Albert, SK+",05/26/2025,880
"Prince Albert, SK+",05/27/2025,880
"Prince Albert, SK+",05/28/2025,880
"Prince Albert, SK+",05/29/2025,880
"Prince Albert, SK+",05/30/2025,880
"Prince Albert, SK+",05/31/2025,880
"Regina, SK+",05/25/2025,4061
"Regina, SK+",05/26/2025,4061
"Regina, SK+",05/27/2025,4061
"Regina, SK+",05/28/2025,4061
"Regina, SK+",05/29/2025,4061
"Regina, SK+",05/30/2025,4061
"Regina, SK+",05/31/2025,4061
"Saskatoon, SK+",05/25/2025,5205
"Saskatoon, SK+",05/26/2025,5205
"Saskatoon, SK+",05/27/2025,5205
"Saskatoon, SK+",05/28/2025,5205
"Saskatoon, SK+",05/29/2025,5205
"Saskatoon, SK+",05/30/2025,5205
"Saskatoon, SK+",05/31/2025,5205
"Swift Current, SK+",05/25/2025,1018
"Swift Current, SK+",05/26/2025,1018
"Swift Current, SK+",05/27/2025,1018
"Swift Current, SK+",05/28/2025,1018
"Swift Current, SK+",05/29/2025,1018
"Swift Current, SK+",05/30/2025,1018
"Swift Current, SK+",05/31/2025,1018
"Yorkton, SK+",05/25/2025,691
"Yorkton, SK+",05/26/2025,691
"Yorkton, SK+",05/27/2025,691
"Yorkton, SK+",05/28/2025,691
"Yorkton, SK+",05/29/2025,691
"Yorkton, SK+",05/30/2025,691
"Yorkton, SK+",05/31/2025,691
