Location,Date,Value
Canada,05/25/2025,56567659.6336214
Canada,05/26/2025,70553863.9782313
Canada,05/27/2025,81841896.6512897
Canada,05/28/2025,82791496.2795384
Canada,05/29/2025,77543612.5652138
Canada,05/30/2025,76439764.4402158
Canada,05/31/2025,75779955.5046988
"Saskatchewan, Canada",05/25/2025,1512221.23057221
"Saskatchewan, Canada",05/26/2025,2300684.58536514
"Saskatchewan, Canada",05/27/2025,2816555.16201521
"Saskatchewan, Canada",05/28/2025,2885596.38795551
"Saskatchewan, Canada",05/29/2025,2660662.89650227
"Saskatchewan, Canada",05/30/2025,2852481.30388555
"Saskatchewan, Canada",05/31/2025,2759387.33723207
"Estevan, SK+",05/25/2025,31878.1603075384
"Estevan, SK+",05/26/2025,50297.4973889215
"Estevan, SK+",05/27/2025,57627.1222617626
"Estevan, SK+",05/28/2025,53648.3693271435
"Estevan, SK+",05/29/2025,35902.4675669961
"Estevan, SK+",05/30/2025,32190.961232485
"Estevan, SK+",05/31/2025,42680.6983186718
"Moose Jaw, SK+",05/25/2025,84059.9990487079
"Moose Jaw, SK+",05/26/2025,100377.995839376
"Moose Jaw, SK+",05/27/2025,121322.986342601
"Moose Jaw, SK+",05/28/2025,122126.806477253
"Moose Jaw, SK+",05/29/2025,105468.848507936
"Moose Jaw, SK+",05/30/2025,173003.047817212
"Moose Jaw, SK+",05/31/2025,171470.173833044
"Prince Albert, SK+",05/25/2025,105121.31784
"Prince Albert, SK+",05/26/2025,132700.486475398
"Prince Albert, SK+",05/27/2025,135989.726576519
"Prince Albert, SK+",05/28/2025,141807.645746761
"Prince Albert, SK+",05/29/2025,135896.444655575
"Prince Albert, SK+",05/30/2025,153157.773920825
"Prince Albert, SK+",05/31/2025,156838.412883539
"Regina, SK+",05/25/2025,220484.242870428
"Regina, SK+",05/26/2025,392397.951538793
"Regina, SK+",05/27/2025,560909.510907492
"Regina, SK+",05/28/2025,585305.475593111
"Regina, SK+",05/29/2025,624514.533995179
"Regina, SK+",05/30/2025,636834.308491256
"Regina, SK+",05/31/2025,521403.055777258
"Saskatoon, SK+",05/25/2025,463356.02529377
"Saskatoon, SK+",05/26/2025,662088.81517691
"Saskatoon, SK+",05/27/2025,770763.284777188
"Saskatoon, SK+",05/28/2025,808334.461456144
"Saskatoon, SK+",05/29/2025,687080.074122514
"Saskatoon, SK+",05/30/2025,762549.537392833
"Saskatoon, SK+",05/31/2025,772297.657126704
"Swift Current, SK+",05/25/2025,34478.8273474887
"Swift Current, SK+",05/26/2025,62143.0880679997
"Swift Current, SK+",05/27/2025,78171.6968731053
"Swift Current, SK+",05/28/2025,68298.6764758247
"Swift Current, SK+",05/29/2025,43997.9506614227
"Swift Current, SK+",05/30/2025,64688.9190797008
"Swift Current, SK+",05/31/2025,68980.8736250168
"Yorkton, SK+",05/25/2025,59820.3226718709
"Yorkton, SK+",05/26/2025,89733.1322713566
"Yorkton, SK+",05/27/2025,94241.8605616672
"Yorkton, SK+",05/28/2025,96021.6337812055
"Yorkton, SK+",05/29/2025,90134.1205011815
"Yorkton, SK+",05/30/2025,58273.2211510541
"Yorkton, SK+",05/31/2025,61394.5093427741
