Location,Date,Value
Canada,05/18/2025,287968
Canada,05/19/2025,217447
Canada,05/20/2025,298355
Canada,05/21/2025,323832
Canada,05/22/2025,321878
Canada,05/23/2025,336582
Canada,05/24/2025,362130
"Saskatchewan, Canada",05/18/2025,11842
"Saskatchewan, Canada",05/19/2025,8414
"Saskatchewan, Canada",05/20/2025,13458
"Saskatchewan, Canada",05/21/2025,14450
"Saskatchewan, Canada",05/22/2025,14437
"Saskatchewan, Canada",05/23/2025,15465
"Saskatchewan, Canada",05/24/2025,16344
"Estevan, SK+",05/18/2025,267
"Estevan, SK+",05/19/2025,282
"Estevan, SK+",05/20/2025,397
"Estevan, SK+",05/21/2025,373
"Estevan, SK+",05/22/2025,370
"Estevan, SK+",05/23/2025,357
"Estevan, SK+",05/24/2025,349
"Moose Jaw, SK+",05/18/2025,675
"Moose Jaw, SK+",05/19/2025,562
"Moose Jaw, SK+",05/20/2025,684
"Moose Jaw, SK+",05/21/2025,702
"Moose Jaw, SK+",05/22/2025,610
"Moose Jaw, SK+",05/23/2025,909
"Moose Jaw, SK+",05/24/2025,906
"Prince Albert, SK+",05/18/2025,554
"Prince Albert, SK+",05/19/2025,469
"Prince Albert, SK+",05/20/2025,674
"Prince Albert, SK+",05/21/2025,714
"Prince Albert, SK+",05/22/2025,818
"Prince Albert, SK+",05/23/2025,813
"Prince Albert, SK+",05/24/2025,838
"Regina, SK+",05/18/2025,1679
"Regina, SK+",05/19/2025,1306
"Regina, SK+",05/20/2025,2036
"Regina, SK+",05/21/2025,2346
"Regina, SK+",05/22/2025,2656
"Regina, SK+",05/23/2025,2998
"Regina, SK+",05/24/2025,3128
"Saskatoon, SK+",05/18/2025,3818
"Saskatoon, SK+",05/19/2025,2193
"Saskatoon, SK+",05/20/2025,3589
"Saskatoon, SK+",05/21/2025,3842
"Saskatoon, SK+",05/22/2025,3814
"Saskatoon, SK+",05/23/2025,4091
"Saskatoon, SK+",05/24/2025,4526
"Swift Current, SK+",05/18/2025,472
"Swift Current, SK+",05/19/2025,296
"Swift Current, SK+",05/20/2025,492
"Swift Current, SK+",05/21/2025,510
"Swift Current, SK+",05/22/2025,469
"Swift Current, SK+",05/23/2025,478
"Swift Current, SK+",05/24/2025,458
"Yorkton, SK+",05/18/2025,408
"Yorkton, SK+",05/19/2025,387
"Yorkton, SK+",05/20/2025,677
"Yorkton, SK+",05/21/2025,670
"Yorkton, SK+",05/22/2025,667
"Yorkton, SK+",05/23/2025,635
"Yorkton, SK+",05/24/2025,615
